Full Name,Department,Job Title,Hiring day
Palpatine Clark Sidorovich,Palmer Technologies,Spy,06/07/2017
Palpatine Walter Dariaevich,CatCo Worldwide Media,IT Specialist,31/01/2023
Palpatine David Elenaevich,Alias Investigations,Photographer,22/09/2019
Reilly Bruce Elenaevich,Wayne Enterprises,Soldier,13/03/2020
Allen Peter Nikolaevich,Gamma Research,Air Force Pilot,14/10/2019
Kent Matt Nikolaevich,Palmer Technologies,Private Investigator,07/03/2018
Palpatine Matt Irinaevich,Daily Planet,Soldier,19/08/2018
Cho Oliver Irinaevich,SSR,Private Investigator,08/09/2020
Allen Tony Nikolaevich,Alias Investigations,Soldier,18/12/2018
White Oliver Irinaevich,SSR,Air Force Pilot,26/02/2024
Osborn Clark Petrovich,Gamma Research,Agent,12/04/2023
Zor-El Jason Sidorovich,Fantastic Four,Lawyer,17/05/2019
Stark Ben Irinaevich,Army,Reporter,12/02/2023
Palpatine Barry Svetlanaevich,Army,Model,26/02/2024
Wilson Ben Nikolaevich,Queen Industries,Model,23/02/2019
Osborn Daniel Tatianaevich,CatCo Worldwide Media,Private Investigator,11/12/2020
Osborn Clark Nikolaevich,S.H.I.E.L.D.,Model,17/08/2023
Maximoff Walter Tatianaevich,Stark Industries,Photographer,08/01/2024
Stark Jason Svetlanaevich,Palmer Technologies,IT Specialist,26/08/2020
Storm Norman Elenaevich,Daily Planet,Scientist,12/05/2020
Reilly Daniel Nataliaevich,S.H.I.E.L.D.,Journalist,29/07/2017
Palpatine Bruce Olgaevich,Alias Investigations,CEO,12/10/2019
Osborn Tony Dariaevich,Gamma Research,Model,19/12/2018
Parker Norman Olgaevich,Rand Enterprises,Archer,15/11/2018
Danvers Daniel Olgaevich,CatCo Worldwide Media,CEO,31/01/2021
Wayne Daniel Petrovich,Queen Industries,Soldier,28/01/2018
Zor-El David Sidorovich,Central City Police Department,CEO,28/07/2023
Rogers Wade Svetlanaevich,Alias Investigations,Model,26/04/2024
Palpatine David Petrovich,SSR,Lawyer,04/06/2022
Storm Oliver Elenaevich,Rand Enterprises,Private Investigator,12/11/2016
Lane Barry Dariaevich,League of Assassins,Reporter,14/12/2018
Gale Jason Svetlanaevich,Alias Investigations,Archer,23/05/2017
Osborn David Elenaevich,Gamma Research,Private Investigator,24/01/2017
Carter Barry Petrovich,CatCo Worldwide Media,Reporter,23/07/2019
Allen David Olgaevich,Oscorp Industries,Air Force Pilot,15/02/2022
Lane Clark Elenaevich,League of Assassins,Journalist,08/12/2020
Osborn Oliver Petrovich,SSR,Photographer,15/11/2023
Gale Walter Petrovich,S.H.I.E.L.D.,Soldier,10/08/2019
Romanoff David Maryevich,CatCo Worldwide Media,Private Investigator,04/07/2019
Romanoff Daniel Ivanovich,Queen Industries,CEO,30/04/2024
Cho Bruce Katerinaevich,CatCo Worldwide Media,Scientist,14/08/2022
White Peter Petrovich,Wayne Enterprises,Air Force Pilot,20/08/2022
Stark David Ivanovich,Fantastic Four,CEO,02/02/2018
Allen Walter Elenaevich,Daily Planet,Private Investigator,05/12/2018
Wilson Wade Petrovich,Queen Industries,Scientist,21/07/2022
Parker Clark Katerinaevich,Queen Industries,Photographer,19/11/2022
Palpatine David Sidorovich,Alias Investigations,Air Force Pilot,12/05/2017
Parker Barry Nataliaevich,Queen Industries,Model,08/03/2023
Cho Steve Katerinaevich,CatCo Worldwide Media,Photographer,28/06/2017
Wilson Steve Maryevich,Daily Planet,Archer,28/04/2023
Bishop Oliver Nataliaevich,Central City Police Department,Soldier,06/11/2022
Smoak Jason Olgaevich,Gamma Research,Agent,11/08/2016
Rogers Clark Svetlanaevich,Wayne Enterprises,Archer,19/08/2019
Rogers Matt Elenaevich,S.H.I.E.L.D.,Journalist,13/11/2019
Zor-El Peter Nikolaevich,CatCo Worldwide Media,Archer,02/03/2022
Stark Peter Ivanovich,Army,Spy,23/02/2022
Danvers Norman Nikolaevich,Alias Investigations,Agent,12/09/2020
White Oliver Tatianaevich,S.H.I.E.L.D.,Scientist,16/06/2024
Lane Wade Tatianaevich,Daily Planet,Scientist,14/08/2017
Parker Bruce Petrovich,Stark Industries,Photographer,17/09/2022
Wayne Norman Elenaevich,Daily Planet,Photographer,24/08/2018
Lane Daniel Elenaevich,Alias Investigations,Photographer,24/05/2018
White Oliver Nataliaevich,CatCo Worldwide Media,Air Force Pilot,20/08/2016
Rogers Daniel Elenaevich,Army,Agent,28/11/2018
Zor-El Steve Dariaevich,NASA,Archer,05/04/2018
Storm Ben Irinaevich,Wayne Enterprises,IT Specialist,06/02/2020
Cho Steve Elenaevich,Palmer Technologies,Journalist,14/02/2019
Reilly Oliver Petrovich,Palmer Technologies,Private Investigator,11/12/2016
Maximoff Norman Dariaevich,Queen Industries,Air Force Pilot,03/11/2018
Watson Bruce Katerinaevich,Rand Enterprises,Archer,29/08/2017
Reilly Jason Nataliaevich,Fantastic Four,Private Investigator,07/01/2019
Stark Wade Petrovich,Central City Police Department,Private Investigator,21/04/2017
Cain Daniel Nikolaevich,Oscorp Industries,Spy,05/12/2023
Queen Clark Dariaevich,Fantastic Four,IT Specialist,11/04/2023
Watson David Ivanovich,Wayne Enterprises,Spy,22/02/2021
Wayne Tony Sidorovich,Palmer Technologies,IT Specialist,02/01/2023
Romanoff Matt Svetlanaevich,NASA,Lawyer,27/09/2016
Jones Clark Olgaevich,Alias Investigations,Private Investigator,03/12/2023
Stark Walter Irinaevich,SSR,Private Investigator,01/03/2019
White Barry Irinaevich,League of Assassins,CEO,10/03/2024
Murdock Wade Sidorovich,NASA,Archer,20/10/2020
Gale Jason Ivanovich,Alias Investigations,Archer,06/05/2021
Watson Walter Nataliaevich,Alias Investigations,Scientist,12/09/2023
Stark Tony Ivanovich,Palmer Technologies,IT Specialist,20/07/2020
Smoak Daniel Sidorovich,NASA,Journalist,09/06/2022
Kent Steve Sidorovich,NASA,IT Specialist,10/10/2017
Lane Matt Tatianaevich,Oscorp Industries,Soldier,04/05/2019
Cain David Dariaevich,League of Assassins,Photographer,12/05/2022
Allen Matt Olgaevich,Oscorp Industries,Scientist,16/03/2017
Lane Bruce Olgaevich,Queen Industries,Journalist,13/03/2017
Wilson Clark Elenaevich,Gamma Research,Reporter,11/07/2017
Jones Oliver Katerinaevich,League of Assassins,CEO,24/05/2020
Storm Steve Sidorovich,Gamma Research,Photographer,09/08/2023
